************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
************************************************************************************************************************************
*        0 *         0 * 0.1500000 *         0 * 1.1000000 *         0 * 0.1500000 *         0 * 0.1000000 * -0.093195 * 0.0002708 *
*        1 *         0 * 0.1500000 *         0 * 1.1000000 *         0 * 0.1500000 *         1 * 0.3000000 * -0.161422 * 0.0008124 *
*        5 *         0 * 0.1500000 *         0 * 1.1000000 *         1 *      0.25 *         0 * 0.1000000 * -0.069077 * 0.0002573 *
*        6 *         0 * 0.1500000 *         0 * 1.1000000 *         1 *      0.25 *         1 * 0.3000000 * -0.119648 * 0.0007719 *
*        7 *         0 * 0.1500000 *         0 * 1.1000000 *         1 *      0.25 *         2 *       0.5 * -0.154464 * 0.0012866 *
*        8 *         0 * 0.1500000 *         0 * 1.1000000 *         1 *      0.25 *         3 * 0.6999999 * -0.182766 * 0.0018012 *
*       10 *         0 * 0.1500000 *         0 * 1.1000000 *         2 * 0.3499999 *         0 * 0.1000000 * -0.058895 * 0.0002225 *
*       11 *         0 * 0.1500000 *         0 * 1.1000000 *         2 * 0.3499999 *         1 * 0.3000000 * -0.102011 * 0.0006677 *
*       12 *         0 * 0.1500000 *         0 * 1.1000000 *         2 * 0.3499999 *         2 *       0.5 * -0.131695 * 0.0011128 *
*       13 *         0 * 0.1500000 *         0 * 1.1000000 *         2 * 0.3499999 *         3 * 0.6999999 * -0.155825 * 0.0015580 *
*       14 *         0 * 0.1500000 *         0 * 1.1000000 *         2 * 0.3499999 *         4 * 0.8999999 * -0.176689 * 0.0020031 *
*       15 *         0 * 0.1500000 *         0 * 1.1000000 *         3 * 0.4499999 *         0 * 0.1000000 * -0.053772 * 0.0001771 *
*       16 *         0 * 0.1500000 *         0 * 1.1000000 *         3 * 0.4499999 *         1 * 0.3000000 * -0.093137 * 0.0005314 *
*       17 *         0 * 0.1500000 *         0 * 1.1000000 *         3 * 0.4499999 *         2 *       0.5 * -0.120239 * 0.0008857 *
*       18 *         0 * 0.1500000 *         0 * 1.1000000 *         3 * 0.4499999 *         3 * 0.6999999 * -0.142271 * 0.0012400 *
*       19 *         0 * 0.1500000 *         0 * 1.1000000 *         3 * 0.4499999 *         4 * 0.8999999 * -0.161319 * 0.0015943 *
*       20 *         0 * 0.1500000 *         0 * 1.1000000 *         4 * 0.5500000 *         0 * 0.1000000 * -0.050538 * 0.0001264 *
*       21 *         0 * 0.1500000 *         0 * 1.1000000 *         4 * 0.5500000 *         1 * 0.3000000 * -0.087536 * 0.0003793 *
*       22 *         0 * 0.1500000 *         0 * 1.1000000 *         4 * 0.5500000 *         2 *       0.5 * -0.113008 * 0.0006322 *
*       23 *         0 * 0.1500000 *         0 * 1.1000000 *         4 * 0.5500000 *         3 * 0.6999999 * -0.133715 * 0.0008852 *
*       24 *         0 * 0.1500000 *         0 * 1.1000000 *         4 * 0.5500000 *         4 * 0.8999999 * -0.151618 * 0.0011381 *
*       25 *         0 * 0.1500000 *         0 * 1.1000000 *         5 * 0.6499999 *         0 * 0.1000000 * -0.048204 * 7.797e-05 *
*       26 *         0 * 0.1500000 *         0 * 1.1000000 *         5 * 0.6499999 *         1 * 0.3000000 * -0.083493 * 0.0002339 *
*       27 *         0 * 0.1500000 *         0 * 1.1000000 *         5 * 0.6499999 *         2 *       0.5 * -0.107789 * 0.0003898 *
*       28 *         0 * 0.1500000 *         0 * 1.1000000 *         5 * 0.6499999 *         3 * 0.6999999 * -0.127539 * 0.0005458 *
*       29 *         0 * 0.1500000 *         0 * 1.1000000 *         5 * 0.6499999 *         4 * 0.8999999 * -0.144615 * 0.0007017 *
*       30 *         0 * 0.1500000 *         0 * 1.1000000 *         6 *      0.75 *         0 * 0.1000000 * -0.046938 * 3.878e-05 *
*       31 *         0 * 0.1500000 *         0 * 1.1000000 *         6 *      0.75 *         1 * 0.3000000 * -0.081301 * 0.0001163 *
*       32 *         0 * 0.1500000 *         0 * 1.1000000 *         6 *      0.75 *         2 *       0.5 * -0.104958 * 0.0001939 *
*       33 *         0 * 0.1500000 *         0 * 1.1000000 *         6 *      0.75 *         3 * 0.6999999 * -0.124189 * 0.0002714 *
*       35 *         0 * 0.1500000 *         0 * 1.1000000 *         7 * 0.8500000 *         0 * 0.1000000 * -0.047603 * 1.283e-05 *
*       36 *         0 * 0.1500000 *         0 * 1.1000000 *         7 * 0.8500000 *         1 * 0.3000000 * -0.082453 * 3.849e-05 *
*       37 *         0 * 0.1500000 *         0 * 1.1000000 *         7 * 0.8500000 *         2 *       0.5 * -0.106446 * 6.415e-05 *
*       40 *         0 * 0.1500000 *         1 * 1.3999999 *         0 * 0.1500000 *         0 * 0.1000000 * -0.088944 * 0.0029114 *
*       41 *         0 * 0.1500000 *         1 * 1.3999999 *         0 * 0.1500000 *         1 * 0.3000000 * -0.154059 * 0.0087348 *
*       42 *         0 * 0.1500000 *         1 * 1.3999999 *         0 * 0.1500000 *         2 *       0.5 * -0.198889 * 0.0145579 *
*       45 *         0 * 0.1500000 *         1 * 1.3999999 *         1 *      0.25 *         0 * 0.1000000 * -0.067048 * 0.0028134 *
*       46 *         0 * 0.1500000 *         1 * 1.3999999 *         1 *      0.25 *         1 * 0.3000000 * -0.116133 * 0.0084407 *
*       47 *         0 * 0.1500000 *         1 * 1.3999999 *         1 *      0.25 *         2 *       0.5 * -0.149926 * 0.0140677 *
*       48 *         0 * 0.1500000 *         1 * 1.3999999 *         1 *      0.25 *         3 * 0.6999999 * -0.177397 * 0.0196952 *
*       49 *         0 * 0.1500000 *         1 * 1.3999999 *         1 *      0.25 *         4 * 0.8999999 * -0.201149 * 0.0253222 *
*       50 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         0 * 0.1000000 * -0.058000 * 0.0024690 *
*       51 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         1 * 0.3000000 * -0.100462 * 0.0074075 *
*       52 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         2 *       0.5 * -0.129695 * 0.0123458 *
*       53 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         3 * 0.6999999 * -0.153459 * 0.0172844 *
*       54 *         0 * 0.1500000 *         1 * 1.3999999 *         2 * 0.3499999 *         4 * 0.8999999 * -0.174006 * 0.0222227 *
*       55 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         0 * 0.1000000 * -0.053632 * 0.0019903 *
*       56 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         1 * 0.3000000 * -0.092896 * 0.0059712 *
*       57 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         2 *       0.5 * -0.119928 * 0.0099520 *
*       58 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         3 * 0.6999999 * -0.141902 * 0.0139331 *
*       59 *         0 * 0.1500000 *         1 * 1.3999999 *         3 * 0.4499999 *         4 * 0.8999999 * -0.160902 * 0.0179138 *
*       60 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         0 * 0.1000000 * -0.050997 * 0.0014374 *
*       61 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         1 * 0.3000000 * -0.088332 * 0.0043124 *
*       62 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         2 *       0.5 * -0.114036 * 0.0071873 *
*       63 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         3 * 0.6999999 * -0.134930 * 0.0100624 *
*       64 *         0 * 0.1500000 *         1 * 1.3999999 *         4 * 0.5500000 *         4 * 0.8999999 * -0.152996 * 0.0129373 *
*       65 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         0 * 0.1000000 * -0.049226 * 0.0008969 *
*       66 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         1 * 0.3000000 * -0.085263 * 0.0026909 *
*       67 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         2 *       0.5 * -0.110074 * 0.0044849 *
*       68 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         3 * 0.6999999 * -0.130243 * 0.0062790 *
*       69 *         0 * 0.1500000 *         1 * 1.3999999 *         5 * 0.6499999 *         4 * 0.8999999 * -0.147681 * 0.0080729 *
*       70 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         0 * 0.1000000 * -0.048639 * 0.0004527 *
*       71 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         1 * 0.3000000 * -0.084247 * 0.0013581 *
*       72 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         2 *       0.5 * -0.108762 * 0.0022635 *
*       73 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         3 * 0.6999999 * -0.128690 * 0.0031690 *
*       74 *         0 * 0.1500000 *         1 * 1.3999999 *         6 *      0.75 *         4 * 0.8999999 * -0.145920 * 0.0040745 *
